bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,286.0,167.0,119.0,58.39160839160839,41.60839160839161,286.0,167.0,119.0,0.5900643064094411,37.42138364779874,36.8313193413893,1.403361344537815
2.0,286.0,242.0,44.0,84.61538461538461,15.384615384615387,572.0,409.0,163.0,1.445127552823122,51.257861635220124,49.812734082397,2.5092024539877302
3.0,287.0,269.0,18.0,93.72822299651568,6.271777003484317,859.0,678.0,181.0,2.3955904176383296,56.918238993710695,54.52264857607236,3.74585635359116
4.0,286.0,281.0,5.0,98.25174825174825,1.7482517482517466,1145.0,959.0,186.0,3.3884531128542155,58.490566037735846,55.10211292488163,5.155913978494624
5.0,286.0,279.0,7.0,97.55244755244755,2.4475524475524537,1431.0,1238.0,193.0,4.374249169669988,60.691823899371066,56.31757472970108,6.414507772020725
6.0,286.0,280.0,6.0,97.9020979020979,2.097902097902093,1717.0,1518.0,199.0,5.363578545685817,62.57861635220126,57.21503780651544,7.628140703517588
7.0,286.0,280.0,6.0,97.9020979020979,2.097902097902093,2003.0,1798.0,205.0,6.352907921701647,64.46540880503144,58.1125008833298,8.770731707317074
8.0,287.0,278.0,9.0,96.86411149825784,3.1358885017421585,2290.0,2076.0,214.0,7.335170659317363,67.29559748427673,59.96042682495936,9.700934579439252
9.0,286.0,282.0,4.0,98.6013986013986,1.3986013986014,2576.0,2358.0,218.0,8.331566673733304,68.55345911949685,60.221892445763544,10.81651376146789
10.0,286.0,285.0,1.0,99.65034965034965,0.34965034965034647,2862.0,2643.0,219.0,9.338562645749416,68.86792452830188,59.529361882552465,12.068493150684931
11.0,286.0,284.0,2.0,99.3006993006993,0.6993006993006929,3148.0,2927.0,221.0,10.342025298565472,69.49685534591195,59.15483004734648,13.244343891402714
12.0,286.0,286.0,0.0,100.0,0.0,3434.0,3213.0,221.0,11.35255458978164,69.49685534591195,58.14430075613031,14.538461538461538
13.0,287.0,284.0,3.0,98.95470383275261,1.0452961672473862,3721.0,3497.0,224.0,12.356017242597696,70.44025157232704,58.08423432972935,15.611607142857142
14.0,286.0,283.0,3.0,98.95104895104895,1.0489510489510536,4007.0,3780.0,227.0,13.355946576213695,71.38364779874213,58.027701222528435,16.651982378854626
15.0,286.0,281.0,5.0,98.25174825174825,1.7482517482517466,4293.0,4061.0,232.0,14.34880927142958,72.95597484276729,58.60716557133771,17.504310344827587
16.0,286.0,280.0,6.0,97.9020979020979,2.097902097902093,4579.0,4341.0,238.0,15.33813864744541,74.84276729559748,59.50462864815207,18.23949579831933
17.0,286.0,285.0,1.0,99.65034965034965,0.34965034965034647,4865.0,4626.0,239.0,16.345134619461522,75.15723270440252,58.812098084941,19.355648535564853
18.0,287.0,285.0,2.0,99.30313588850174,0.6968641114982574,5152.0,4911.0,241.0,17.352130591477636,75.78616352201257,58.43403293053494,20.37759336099585
19.0,286.0,284.0,2.0,99.3006993006993,0.6993006993006929,5438.0,5195.0,243.0,18.35559324429369,76.41509433962264,58.059501095328955,21.378600823045268
20.0,286.0,282.0,4.0,98.6013986013986,1.3986013986014,5724.0,5477.0,247.0,19.351989258709633,77.67295597484276,58.32096671613313,22.17408906882591
21.0,286.0,282.0,4.0,98.6013986013986,1.3986013986014,6010.0,5759.0,251.0,20.348385273125576,78.93081761006289,58.582432336937316,22.94422310756972
22.0,286.0,285.0,1.0,99.65034965034965,0.34965034965034647,6296.0,6044.0,252.0,21.355381245141686,79.24528301886792,57.88990177372624,23.984126984126984
23.0,287.0,285.0,2.0,99.30313588850174,0.6968641114982574,6583.0,6329.0,254.0,22.3623772171578,79.87421383647799,57.51183661932019,24.91732283464567
24.0,286.0,284.0,2.0,99.3006993006993,0.6993006993006929,6869.0,6613.0,256.0,23.365839869973854,80.50314465408805,57.13730478411419,25.83203125
25.0,286.0,281.0,5.0,98.25174825174825,1.7482517482517466,7155.0,6894.0,261.0,24.358702565189738,82.0754716981132,57.71676913292347,26.413793103448278
26.0,286.0,283.0,3.0,98.95104895104895,1.0489510489510536,7441.0,7177.0,264.0,25.358631898805736,83.01886792452831,57.66023602572257,27.185606060606062
